Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Gravitational acceleration (m/s),Angle of attack (rad),Roll rate (rpm),Pitch rate (rpm),Yaw rate (rpm),Mass (g),Longitudinal moment of inertia (kgm),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Vertical orientation (zenith) (rad),Air pressure (Pa)
0,0,0,35.765,0,0,9.8221,0,0,0,0,18553,6.611,NaN,199.83,NaN,0,0,843,0,2.3192,2.3192,2.0799,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
2e-3,7.0443e-5,0.07153,115.28,1.2421e-5,0,9.8221,0,0,0,0,18553,6.611,NaN,199.83,NaN,2.1014e-4,13105,2318.2,5.5409e-5,2.1302,2.1302,1.8908,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
4e-3,4.384e-4,0.30211,126.65,7.7303e-5,0,9.8221,0,0,0,0,18551,6.6107,NaN,199.83,NaN,8.8755e-4,55348,2529,6.7197e-4,1.4482,1.4482,1.2088,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
6e-3,0.0012829,0.55545,126.67,2.2622e-4,0,9.8221,0,0,0,0,18549,6.6104,NaN,199.82,NaN,0.0016318,101761,2529,0.0019869,1.2668,1.2668,1.0274,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
8e-3,0.0026265,0.80883,126.69,4.6312e-4,0,9.8221,0,0,0,0,18546,6.6101,NaN,199.82,NaN,0.0023762,148181,2529,0.003906,1.1744,1.1744,0.93507,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.01,0.0044691,1.0622,126.71,7.8803e-4,0,9.8221,0,0,0,0,18543,6.6097,NaN,199.82,NaN,0.0031207,194609,2529,0.0063964,1.1151,1.1151,0.87569,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.012,0.006811,1.3157,126.73,0.001201,0,9.8221,0,0,0,0,18540,6.6093,NaN,199.81,NaN,0.0038653,241044,2529,0.0094369,1.0723,1.0723,0.83294,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.014,0.009652,1.5692,126.76,0.0017019,0,9.8221,0,0,0,0,18537,6.6089,NaN,199.81,NaN,0.0046101,287487,2529,0.013012,1.0394,1.0394,0.80005,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.016,0.012992,1.8228,126.78,0.0022909,0,9.8221,0,0,0,0,18534,6.6086,NaN,199.81,NaN,0.0053549,333938,2529,0.01711,1.013,1.013,0.7736,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.018,0.016832,2.0763,126.8,0.002968,0,9.8221,0,0,0,0,18531,6.6082,NaN,199.8,NaN,0.0060999,380396,2529,0.021721,0.99104,0.99104,0.75165,0.11938,0.12,NaN,NaN,NaN,NaN,NaN,1.3963,101325
