Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Gravitational acceleration (m/s),Angle of attack (rad),Roll rate (rpm),Pitch rate (rpm),Yaw rate (rpm),Mass (g),Longitudinal moment of inertia (kgm),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Vertical orientation (zenith) (rad),Air pressure (Pa)
0,0,0,7.3018,0,0,9.8221,1.7453,0,0,0,18553,6.611,NaN,199.83,NaN,0.023503,1465635,43.988,-0.0031601,0.80982,-0.0097128,0.57034,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
2e-3,0,0,2.5599,0,0,9.8221,1.7453,0,0,0,18553,6.611,NaN,199.83,NaN,0.023503,1465635,131.97,-0.0031601,0.80982,-0.0097128,0.57034,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
4e-3,0,0,2.1826,0,0,9.8221,1.7453,0,0,0,18552,6.6109,NaN,199.83,NaN,0.023503,1465635,219.94,-0.0031601,0.80982,-0.0097128,0.57034,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
6e-3,4.2998e-6,0.0043663,6.9257,7.5817e-7,0,9.8221,1.7448,0,0,0,18551,6.6107,NaN,199.83,NaN,0.0235,1465496,307.92,-0.0031316,0.80984,-0.0096268,0.57035,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
8e-3,2.6542e-5,0.018219,11.669,4.68e-6,0,9.8221,1.7431,0,0,0,18550,6.6106,NaN,199.82,NaN,0.023493,1465059,395.9,-0.0030421,0.80987,-0.0093573,0.57038,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.01,8.5412e-5,0.041559,16.413,1.506e-5,0,9.8221,1.7402,0,0,0,18549,6.6105,NaN,199.82,NaN,0.023482,1464332,483.87,-0.002895,0.80992,-0.0089137,0.57044,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.012,1.996e-4,0.074388,21.158,3.5194e-5,0,9.8221,1.7362,0,0,0,18548,6.6104,NaN,199.82,NaN,0.023466,1463330,571.85,-0.0026959,0.81,-0.0083121,0.57051,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.014,3.8779e-4,0.11671,25.903,6.8377e-5,0,9.8221,1.7309,0,0,0,18547,6.6102,NaN,199.82,NaN,0.023445,1462074,659.83,-0.0024525,0.81009,-0.0075747,0.57061,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.016,6.6867e-4,0.16851,30.648,1.1791e-4,0,9.8221,1.7245,0,0,0,18546,6.6101,NaN,199.82,NaN,0.023422,1460591,747.8,-0.0021743,0.8102,-0.0067291,0.57072,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.018,0.001061,0.22981,35.394,1.8707e-4,0,9.8221,1.7169,0,0,0,18545,6.61,NaN,199.82,NaN,0.023395,1458913,835.78,-0.0018724,0.81033,-0.005808,0.57084,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
